사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-10,1호선,0150,서울역,707,34,"9,180","9,659","13,511","55,432","40,840","105,943","71,256","205,484","61,307","151,763","62,514","84,310","77,285","72,422","84,928","83,084","85,858","82,661","73,001","74,496","96,526","81,463","111,175","83,613","163,238","96,434","205,513","97,618","115,319","67,072","82,912","48,011","85,422","42,691","56,471","30,503","26,783","14,843","2,421","2,533",2,172,0,0,0,0,2022-11-03 10:23:13
2022-10,1호선,0151,시청,112,0,"2,364","5,063","3,908","26,854","7,253","62,283","9,735","175,247","12,189","94,571","14,635","47,845","20,715","50,439","24,213","50,477","32,591","48,653","45,236","39,997","61,885","35,693","66,922","34,926","94,250","33,105","154,910","27,657","62,838","13,198","53,970","8,140","47,960","7,461","31,231","5,655","10,639","3,367",405,797,1,16,0,0,0,0,2022-11-03 10:23:13
2022-10,1호선,0152,종각,97,5,"3,990","4,469","4,237","22,659","6,536","91,028","10,505","225,517","13,644","143,027","18,618","64,225","26,998","63,080","33,812","56,945","43,796","56,477","54,865","46,951","72,071","40,234","81,018","41,515","137,952","46,434","199,207","49,606","89,244","24,804","77,276","11,985","82,994","8,650","60,677","6,120","28,401","4,125",995,712,0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,1호선,0153,종로3가,219,18,"4,334","3,280","4,065","13,620","5,288","24,619","10,205","68,144","14,664","67,280","21,017","59,341","31,501","69,818","44,492","73,032","52,580","68,101","62,386","59,606","73,711","48,973","81,711","44,307","90,084","42,161","100,386","41,568","62,024","21,684","49,365","11,437","51,434","8,953","40,353","6,544","18,163","4,564","1,367","1,716",6,20,0,0,0,0,2022-11-03 10:23:13
2022-10,1호선,0154,종로5가,37,0,"1,894","3,542","3,029","15,796","5,328","39,957","9,058","92,084","12,874","62,476","20,615","56,554","32,117","61,749","42,650","60,925","50,938","57,242","59,102","52,339","65,020","44,957","68,179","40,186","85,559","35,943","96,755","32,409","52,058","17,687","36,168","8,491","32,016","6,401","21,285","4,680","7,388","2,837",342,893,2,5,0,0,0,0,2022-11-03 10:23:13
2022-10,1호선,0155,동대문,729,6,"11,017","1,926","9,398","6,871","14,707","11,779","19,432","21,691","18,853","22,784","17,361","23,933","18,652","26,740","23,463","27,173","25,261","25,047","27,040","23,529","27,997","22,274","28,045","21,583","27,411","20,523","24,942","21,033","17,122","19,705","14,662","13,926","13,377","11,666","10,591","10,596","5,076","8,316",440,"2,216",1,191,0,0,0,0,2022-11-03 10:23:13
2022-10,1호선,0156,신설동,334,13,"9,503","2,222","9,536","8,484","20,433","23,061","29,535","54,171","19,966","32,246","17,654","22,618","20,102","19,267","22,087","19,245","23,352","19,830","22,972","19,017","25,266","20,120","31,318","21,628","38,057","24,892","50,800","29,683","20,438","20,516","14,571","14,118","12,545","13,795","9,248","11,921","3,669","8,583",336,"2,113",3,5,0,2,0,0,2022-11-03 10:23:13
2022-10,1호선,0157,제기동,483,6,"5,324","2,076","8,520","9,098","21,931","19,038","32,298","37,999","24,146","33,164","26,944","40,444","35,347","47,262","41,660","50,292","44,171","53,070","47,526","48,676","51,642","40,896","50,687","33,562","44,932","28,441","38,721","27,094","19,514","18,139","12,472","11,960","8,640","11,584","5,578","10,378","2,242","6,818",122,"1,446",0,0,0,0,0,0,2022-11-03 10:23:13
2022-10,1호선,0158,청량리(서울시립대입구),"1,140",22,"11,658","4,314","15,271","23,232","35,969","18,706","46,390","36,162","31,180","35,799","30,495","38,504","35,576","42,083","40,807","42,462","43,347","46,475","44,436","47,179","49,603","46,084","58,421","42,109","53,071","42,581","42,612","47,635","23,114","31,406","17,789","19,383","13,787","18,317","8,706","16,070","3,302","9,629",174,"3,479",0,1,0,2,0,0,2022-11-03 10:23:13
